photon_energy,axion_mass,flux
1.000000000000000056e-01,0.000000000000000000e+00,9.296050285927363530e-03
1.189189189189189116e-01,0.000000000000000000e+00,1.517545634634421062e-02
1.378378378378378455e-01,0.000000000000000000e+00,2.293882794843307704e-02
1.567567567567567655e-01,0.000000000000000000e+00,3.275035913020803158e-02
1.756756756756756854e-01,0.000000000000000000e+00,4.474510365376042909e-02
1.945945945945945776e-01,0.000000000000000000e+00,5.903171686027701426e-02
2.135135135135135254e-01,0.000000000000000000e+00,7.569505073210744395e-02
2.324324324324324453e-01,0.000000000000000000e+00,9.479858922089949569e-02
2.513513513513513375e-01,0.000000000000000000e+00,1.163867159736519385e-01
2.702702702702702853e-01,0.000000000000000000e+00,1.404868116369574205e-01
2.891891891891891775e-01,0.000000000000000000e+00,1.671111821192889924e-01
3.081081081081080697e-01,0.000000000000000000e+00,1.962588223632006912e-01
3.270270270270270174e-01,0.000000000000000000e+00,2.279170224305080150e-01
3.459459459459459096e-01,0.000000000000000000e+00,2.620628242332484481e-01
3.648648648648648574e-01,0.000000000000000000e+00,2.986643382083389864e-01
3.837837837837837496e-01,0.000000000000000000e+00,3.376819297612864146e-01
4.027027027027026418e-01,0.000000000000000000e+00,3.790692854855185479e-01
4.216216216216215895e-01,0.000000000000000000e+00,4.227743690690373146e-01
4.405405405405404817e-01,0.000000000000000000e+00,4.687402765038730101e-01
4.594594594594594295e-01,0.000000000000000000e+00,5.169059997685766517e-01
4.783783783783783217e-01,0.000000000000000000e+00,5.672071076119631350e-01
4.972972972972972694e-01,0.000000000000000000e+00,6.195763514707474107e-01
5.162162162162161616e-01,0.000000000000000000e+00,6.739442039363235937e-01
5.351351351351351093e-01,0.000000000000000000e+00,7.302393365648672807e-01
5.540540540540540571e-01,0.000000000000000000e+00,7.883890432304647700e-01
5.729729729729728938e-01,0.000000000000000000e+00,8.483196146515963321e-01
5.918918918918919525e-01,0.000000000000000000e+00,9.099566691842596589e-01
6.108108108108107892e-01,0.000000000000000000e+00,9.732254444838273066e-01
6.297297297297297369e-01,0.000000000000000000e+00,1.038051054181885924e+00
6.486486486486485736e-01,0.000000000000000000e+00,1.104358713308030149e+00
6.675675675675675214e-01,0.000000000000000000e+00,1.172073935808392697e+00
6.864864864864864691e-01,0.000000000000000000e+00,1.241122707170536410e+00
7.054054054054054168e-01,0.000000000000000000e+00,1.311431634852351147e+00
7.243243243243243645e-01,0.000000000000000000e+00,1.382928078933884031e+00
7.432432432432432012e-01,0.000000000000000000e+00,1.455540265158232982e+00
7.621621621621621490e-01,0.000000000000000000e+00,1.529197382299265939e+00
7.810810810810810967e-01,0.000000000000000000e+00,1.603829665591538056e+00
8.000000000000000444e-01,0.000000000000000000e+00,1.679368467772094364e+00
